### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_kappa,best_ep_kappa,best_val_f1,best_ep_f1,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_kappa,final_val_kappa,final_train_f1,final_val_f1,train_vram_mb,train_time_s,val_vram_mb,val_time_s
ips_ddr_v1,2026-05-24 05:50,250,0.0001,0.1,16,10,10,512,8,5,resnet18,True,0.442059,55,0.856972,153,0.884213,105,0.673111,64,0.00319,1.040641,0.999361,0.840591,0.999341,0.873584,0.999408,0.627605,6526.6,616.1,1141.5,74.0

### COURBES PAR EPOQUE
epoch,lr,train_loss,train_accuracy,train_kappa,train_f1,val_loss,val_accuracy,val_kappa,val_f1
73,8.218e-05,0.177872,0.935942,0.939555,0.867966,0.626537,0.82541,0.841048,0.652806
74,8.169e-05,0.172133,0.938019,0.943407,0.871066,0.630439,0.812225,0.860048,0.628436
75,8.119e-05,0.182923,0.935783,0.941039,0.875462,0.567776,0.822213,0.847621,0.640453
76,8.069e-05,0.167566,0.940415,0.94408,0.882811,0.558556,0.838993,0.873742,0.645094
77,8.018e-05,0.16988,0.939297,0.941423,0.879164,0.569602,0.834998,0.848385,0.615467
78,7.967e-05,0.163488,0.942173,0.947705,0.886442,0.697929,0.823412,0.853651,0.618579
79,7.915e-05,0.164341,0.94345,0.948236,0.889185,0.532155,0.846584,0.863604,0.643323
80,7.863e-05,0.171209,0.935942,0.936691,0.891439,0.561496,0.846584,0.85671,0.660231
81,7.81e-05,0.160247,0.941853,0.946563,0.88396,0.605265,0.844986,0.86996,0.62392
82,7.757e-05,0.166436,0.938498,0.940305,0.878427,0.558899,0.831402,0.859618,0.619796
83,7.703e-05,0.147319,0.949042,0.955175,0.902505,0.634563,0.828206,0.855931,0.60403
84,7.649e-05,0.136208,0.950479,0.957649,0.888299,0.7288,0.816221,0.853413,0.599964
85,7.594e-05,0.147125,0.946166,0.947587,0.884311,0.660616,0.819017,0.865512,0.618579
86,7.539e-05,0.151501,0.946006,0.947984,0.898162,0.610132,0.834199,0.845296,0.649382
87,7.484e-05,0.151003,0.945208,0.947259,0.889869,0.632201,0.839393,0.850132,0.667425
88,7.428e-05,0.156786,0.944888,0.948368,0.898921,0.584224,0.833799,0.865609,0.647377
